id,log,seen,semantic_template,template,valid,predict
50,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
51,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
52,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
53,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
54,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
55,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
56,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
57,"synchronized to 10.100.26.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
58,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
59,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
60,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
61,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
62,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
63,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
64,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
65,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
66,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
67,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
68,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
69,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
70,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
71,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
72,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
73,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
74,Local disconnected: Connection closed.,False,Local disconnected: Connection closed.,Local disconnected: Connection closed.,True,Local disconnected: Connection closed.
75,connection lost: 'Connection closed.',False,connection lost: '{error_message}',connection lost: 'Connection closed.',True,connection lost: '<*>'
76,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
77,"synchronized to 10.100.24.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
78,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
79,data_thread() got not answer from any [Thunderbird_B2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
80,data_thread() got not answer from any [Thunderbird_C1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
81,data_thread() got not answer from any [Thunderbird_C4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
82,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
83,data_thread() got not answer from any [Thunderbird_A7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
84,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
85,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
86,data_thread() got not answer from any [Thunderbird_D6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
87,data_thread() got not answer from any [Thunderbird_B5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
88,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
89,data_thread() got not answer from any [Thunderbird_D4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
90,data_thread() got not answer from any [Thunderbird_C6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
91,"synchronized to 10.100.26.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
92,"synchronized to 10.100.26.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
93,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
94,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
95,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
96,unable to qualify my own domain name (eadmin1) -- using short name,False,unable to qualify my own domain name ({domain_name}) -- using short name,unable to qualify my own domain name (<*>) -- using short name,True,unable to qualify my own domain name (<*>) -- using short name
97,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
98,"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",False,"jA9J1UvC004306: from={from_user}, size={size}, class={class_number}, nrcpts={number_of_recipients}, msgid=<{message_id}>, relay={relay_info}","<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost",True,"jA9J1UvC004306: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=<*>"
99,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",False,"jA9J1UvC004306: to={to_user}, ctladdr={ctladdr_user} ({ctladdr_value}), delay={delay_time}, xdelay={xdelay_time}, mailer={mailer_type}, pri={priority_number}, relay=[{relay_ip}] [{relay_ip}], dsn={dsn_code}, stat={status_message}","<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",True,"jA9J1UvC004306: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>"
100,data_thread() got not answer from any [Thunderbird_A2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
101,unable to qualify my own domain name (badmin1) -- using short name,False,unable to qualify my own domain name ({domain_name}) -- using short name,unable to qualify my own domain name (<*>) -- using short name,True,unable to qualify my own domain name (<*>) -- using short name
102,unable to qualify my own domain name (cadmin1) -- using short name,False,unable to qualify my own domain name ({domain_name}) -- using short name,unable to qualify my own domain name (<*>) -- using short name,True,unable to qualify my own domain name (<*>) -- using short name
103,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
104,unable to qualify my own domain name (dadmin1) -- using short name,False,unable to qualify my own domain name ({domain_name}) -- using short name,unable to qualify my own domain name (<*>) -- using short name,True,unable to qualify my own domain name (<*>) -- using short name
105,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
106,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
107,data_thread() got not answer from any [Thunderbird_B7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
108,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
109,"jA9J1Wd7019391: from=root, size=1594553, class=0, nrcpts=1, msgid=<200511091901.jA9J1Wd7019391@cadmin1>, relay=#7#@localhost",False,"jA9J1Wd7019391: from={from_user}, size={size}, class={class_number}, nrcpts={number_of_recipients}, msgid=<{message_id}>, relay={relay_info}","<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost",True,"jA9J1Wd7019391: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=<*>"
110,"jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1624553, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",False,"jA9J1Wd7019391: to={to_user}, ctladdr={ctladdr_user} ({ctladdr_value}), delay={delay_time}, xdelay={xdelay_time}, mailer={mailer_type}, pri={priority_number}, relay=[{relay_ip}] [{relay_ip}], dsn={dsn_code}, stat={status_message}","<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",True,"jA9J1Wd7019391: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>"
111,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
112,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
113,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
114,"jA9J1WSU011176: from=root, size=1593894, class=0, nrcpts=1, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=#7#@localhost",False,"jA9J1WSU011176: from={from_user}, size={size}, class={class_number}, nrcpts={number_of_recipients}, msgid=<{message_id}>, relay={relay_info}","<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost",True,"jA9J1WSU011176: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=<*>"
115,"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1623894, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",False,"jA9J1WSU011176: to={to_user}, ctladdr={ctladdr_user} ({ctladdr_value}), delay={delay_time}, xdelay={xdelay_time}, mailer={mailer_type}, pri={priority_number}, relay=[{relay_ip}] [{relay_ip}], dsn={dsn_code}, stat={status_message}","<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",True,"jA9J1WSU011176: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>"
116,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
117,"jA9J1WFE024258: from=root, size=1597080, class=0, nrcpts=1, msgid=<200511091901.jA9J1WFE024258@dadmin1>, relay=#7#@localhost",False,"jA9J1WFE024258: from={from_user}, size={size}, class={class_number}, nrcpts={number_of_recipients}, msgid=<{message_id}>, relay={relay_info}","<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost",True,"jA9J1WFE024258: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=<*>"
118,"jA9J1WFE024258: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1627080, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",False,"jA9J1WFE024258: to={to_user}, ctladdr={ctladdr_user} ({ctladdr_value}), delay={delay_time}, xdelay={xdelay_time}, mailer={mailer_type}, pri={priority_number}, relay=[{relay_ip}] [{relay_ip}], dsn={dsn_code}, stat={status_message}","<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",True,"jA9J1WFE024258: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>"
119,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
120,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
121,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
122,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
123,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
124,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
125,unable to qualify my own domain name (aadmin1) -- using short name,False,unable to qualify my own domain name ({domain_name}) -- using short name,unable to qualify my own domain name (<*>) -- using short name,True,unable to qualify my own domain name (<*>) -- using short name
126,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
127,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
128,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1,True,DHCPDISCOVER from <*> via <*>
129,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,False,DHCPOFFER on {ip_address} to {mac_address} via {interface},DHCPOFFER on <*> to <*> via eth1,True,DHCPOFFER on <*> to <*> via <*>
130,"jA9J1dQ7016560: from=root, size=1595423, class=0, nrcpts=1, msgid=<200511091901.jA9J1dQ7016560@aadmin1>, relay=#7#@localhost",False,"jA9J1dQ7016560: from={from_user}, size={size}, class={class_number}, nrcpts={number_of_recipients}, msgid=<{message_id}>, relay={relay_info}","<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost",True,"jA9J1dQ7016560: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=<*>"
131,"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1625423, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",False,"jA9J1dQ7016560: to={to_user}, ctladdr={ctladdr_user} ({ctladdr_value}), delay={delay_time}, xdelay={xdelay_time}, mailer={mailer_type}, pri={priority_number}, relay=[{relay_ip}] [{relay_ip}], dsn={dsn_code}, stat={status_message}","<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",True,"jA9J1dQ7016560: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>"
132,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1: network A_net: no free leases,True,DHCPDISCOVER from <*> via <*>
133,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1: network A_net: no free leases,True,DHCPDISCOVER from <*> via <*>
134,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1: network A_net: no free leases,True,DHCPDISCOVER from <*> via <*>
135,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
136,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
137,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
138,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
